en,fr,it,de,es,ko,kana
,E_X05Y13,E_X05Y13,E_X05Y13,E_X05Y13,E_X05Y13,E_X05Y13,
,E_X05Y14,E_X05Y14,E_X05Y14,E_X05Y14,E_X05Y14,E_X05Y14,
,E_X05Y15,E_X05Y15,E_X05Y15,E_X05Y15,E_X05Y15,E_X05Y15,
,E_X06Y00,E_X06Y00,E_X06Y00,E_X06Y00,E_X06Y00,E_X06Y00,
,E_X06Y01,E_X06Y01,E_X06Y01,E_X06Y01,E_X06Y01,E_X06Y01,
,E_X06Y02,E_X06Y02,E_X06Y02,E_X06Y02,E_X06Y02,E_X06Y02,
,E_X06Y03,E_X06Y03,E_X06Y03,E_X06Y03,E_X06Y03,E_X06Y03,
,E_X06Y04,E_X06Y04,E_X06Y04,E_X06Y04,E_X06Y04,E_X06Y04,
,E_X06Y05,E_X06Y05,E_X06Y05,E_X06Y05,E_X06Y05,E_X06Y05,
,E_X06Y06,E_X06Y06,E_X06Y06,E_X06Y06,E_X06Y06,E_X06Y06,
,E_X06Y07,E_X06Y07,E_X06Y07,E_X06Y07,E_X06Y07,E_X06Y07,
,E_X06Y08,E_X06Y08,E_X06Y08,E_X06Y08,E_X06Y08,E_X06Y08,
,E_X06Y09,E_X06Y09,E_X06Y09,E_X06Y09,E_X06Y09,E_X06Y09,
,E_X06Y10,E_X06Y10,E_X06Y10,E_X06Y10,E_X06Y10,E_X06Y10,
,E_X06Y11,E_X06Y11,E_X06Y11,E_X06Y11,E_X06Y11,E_X06Y11,
,E_X06Y12,E_X06Y12,E_X06Y12,E_X06Y12,E_X06Y12,E_X06Y12,
,E_X06Y13,E_X06Y13,E_X06Y13,E_X06Y13,E_X06Y13,E_X06Y13,
,E_X06Y14,E_X06Y14,E_X06Y14,E_X06Y14,E_X06Y14,E_X06Y14,
,E_X06Y15,E_X06Y15,E_X06Y15,E_X06Y15,E_X06Y15,E_X06Y15,
,E_X07Y00,E_X07Y00,E_X07Y00,E_X07Y00,E_X07Y00,E_X07Y00,
,E_X07Y01,E_X07Y01,E_X07Y01,E_X07Y01,E_X07Y01,E_X07Y01,
,E_X07Y02,E_X07Y02,E_X07Y02,E_X07Y02,E_X07Y02,E_X07Y02,
,E_X07Y03,E_X07Y03,E_X07Y03,E_X07Y03,E_X07Y03,E_X07Y03,
,E_X07Y04,E_X07Y04,E_X07Y04,E_X07Y04,E_X07Y04,E_X07Y04,
,E_X07Y05,E_X07Y05,E_X07Y05,E_X07Y05,E_X07Y05,E_X07Y05,
,E_X07Y06,E_X07Y06,E_X07Y06,E_X07Y06,E_X07Y06,E_X07Y06,
,E_X07Y07,E_X07Y07,E_X07Y07,E_X07Y07,E_X07Y07,E_X07Y07,
,E_X07Y08,E_X07Y08,E_X07Y08,E_X07Y08,E_X07Y08,E_X07Y08,
,E_X07Y09,E_X07Y09,E_X07Y09,E_X07Y09,E_X07Y09,E_X07Y09,
,E_X07Y10,E_X07Y10,E_X07Y10,E_X07Y10,E_X07Y10,E_X07Y10,
,E_X07Y11,E_X07Y11,E_X07Y11,E_X07Y11,E_X07Y11,E_X07Y11,
,E_X07Y12,E_X07Y12,E_X07Y12,E_X07Y12,E_X07Y12,E_X07Y12,
,E_X07Y13,E_X07Y13,E_X07Y13,E_X07Y13,E_X07Y13,E_X07Y13,
,E_X07Y14,E_X07Y14,E_X07Y14,E_X07Y14,E_X07Y14,E_X07Y14,
,E_X07Y15,E_X07Y15,E_X07Y15,E_X07Y15,E_X07Y15,E_X07Y15,
,E_X08Y00,E_X08Y00,E_X08Y00,E_X08Y00,E_X08Y00,E_X08Y00,
,E_X08Y01,E_X08Y01,E_X08Y01,E_X08Y01,E_X08Y01,E_X08Y01,
,E_X08Y02,E_X08Y02,E_X08Y02,E_X08Y02,E_X08Y02,E_X08Y02,
,E_X08Y03,E_X08Y03,E_X08Y03,E_X08Y03,E_X08Y03,E_X08Y03,
,E_X08Y04,E_X08Y04,E_X08Y04,E_X08Y04,E_X08Y04,E_X08Y04,
,E_X08Y05,E_X08Y05,E_X08Y05,E_X08Y05,E_X08Y05,E_X08Y05,
,E_X08Y06,E_X08Y06,E_X08Y06,E_X08Y06,E_X08Y06,E_X08Y06,
,E_X08Y07,E_X08Y07,E_X08Y07,E_X08Y07,E_X08Y07,E_X08Y07,
,E_X08Y08,E_X08Y08,E_X08Y08,E_X08Y08,E_X08Y08,E_X08Y08,
,E_X08Y09,E_X08Y09,E_X08Y09,E_X08Y09,E_X08Y09,E_X08Y09,
,E_X08Y10,E_X08Y10,E_X08Y10,E_X08Y10,E_X08Y10,E_X08Y10,
,E_X08Y11,E_X08Y11,E_X08Y11,E_X08Y11,E_X08Y11,E_X08Y11,
,E_X08Y12,E_X08Y12,E_X08Y12,E_X08Y12,E_X08Y12,E_X08Y12,
,E_X08Y13,E_X08Y13,E_X08Y13,E_X08Y13,E_X08Y13,E_X08Y13,
,E_X08Y14,E_X08Y14,E_X08Y14,E_X08Y14,E_X08Y14,E_X08Y14,
,E_X08Y15,E_X08Y15,E_X08Y15,E_X08Y15,E_X08Y15,E_X08Y15,
,E_X09Y00,E_X09Y00,E_X09Y00,E_X09Y00,E_X09Y00,E_X09Y00,
,E_X09Y01,E_X09Y01,E_X09Y01,E_X09Y01,E_X09Y01,E_X09Y01,
,E_X09Y02,E_X09Y02,E_X09Y02,E_X09Y02,E_X09Y02,E_X09Y02,
,E_X09Y03,E_X09Y03,E_X09Y03,E_X09Y03,E_X09Y03,E_X09Y03,
,E_X09Y04,E_X09Y04,E_X09Y04,E_X09Y04,E_X09Y04,E_X09Y04,
,E_X09Y05,E_X09Y05,E_X09Y05,E_X09Y05,E_X09Y05,E_X09Y05,
,E_X09Y06,E_X09Y06,E_X09Y06,E_X09Y06,E_X09Y06,E_X09Y06,
,E_X09Y07,E_X09Y07,E_X09Y07,E_X09Y07,E_X09Y07,E_X09Y07,
,E_X09Y08,E_X09Y08,E_X09Y08,E_X09Y08,E_X09Y08,E_X09Y08,
,E_X09Y09,E_X09Y09,E_X09Y09,E_X09Y09,E_X09Y09,E_X09Y09,
,E_X09Y10,E_X09Y10,E_X09Y10,E_X09Y10,E_X09Y10,E_X09Y10,
,E_X09Y11,E_X09Y11,E_X09Y11,E_X09Y11,E_X09Y11,E_X09Y11,
,E_X09Y12,E_X09Y12,E_X09Y12,E_X09Y12,E_X09Y12,E_X09Y12,
,E_X09Y13,E_X09Y13,E_X09Y13,E_X09Y13,E_X09Y13,E_X09Y13,
,E_X09Y14,E_X09Y14,E_X09Y14,E_X09Y14,E_X09Y14,E_X09Y14,
,E_X09Y15,E_X09Y15,E_X09Y15,E_X09Y15,E_X09Y15,E_X09Y15,
,E_X10Y00,E_X10Y00,E_X10Y00,E_X10Y00,E_X10Y00,E_X10Y00,
,E_X10Y01,E_X10Y01,E_X10Y01,E_X10Y01,E_X10Y01,E_X10Y01,
,E_X10Y02,E_X10Y02,E_X10Y02,E_X10Y02,E_X10Y02,E_X10Y02,
,E_X10Y03,E_X10Y03,E_X10Y03,E_X10Y03,E_X10Y03,E_X10Y03,
,E_X10Y04,E_X10Y04,E_X10Y04,E_X10Y04,E_X10Y04,E_X10Y04,
,E_X10Y05,E_X10Y05,E_X10Y05,E_X10Y05,E_X10Y05,E_X10Y05,
,E_X10Y06,E_X10Y06,E_X10Y06,E_X10Y06,E_X10Y06,E_X10Y06,
,E_X10Y07,E_X10Y07,E_X10Y07,E_X10Y07,E_X10Y07,E_X10Y07,
,E_X10Y08,E_X10Y08,E_X10Y08,E_X10Y08,E_X10Y08,E_X10Y08,
,E_X10Y09,E_X10Y09,E_X10Y09,E_X10Y09,E_X10Y09,E_X10Y09,
,E_X10Y10,E_X10Y10,E_X10Y10,E_X10Y10,E_X10Y10,E_X10Y10,
,E_X10Y11,E_X10Y11,E_X10Y11,E_X10Y11,E_X10Y11,E_X10Y11,
,E_X10Y12,E_X10Y12,E_X10Y12,E_X10Y12,E_X10Y12,E_X10Y12,
,E_X10Y13,E_X10Y13,E_X10Y13,E_X10Y13,E_X10Y13,E_X10Y13,
,E_X10Y14,E_X10Y14,E_X10Y14,E_X10Y14,E_X10Y14,E_X10Y14,
,E_X10Y15,E_X10Y15,E_X10Y15,E_X10Y15,E_X10Y15,E_X10Y15,
,E_X11Y00,E_X11Y00,E_X11Y00,E_X11Y00,E_X11Y00,E_X11Y00,
,E_X11Y01,E_X11Y01,E_X11Y01,E_X11Y01,E_X11Y01,E_X11Y01,
,E_X11Y02,E_X11Y02,E_X11Y02,E_X11Y02,E_X11Y02,E_X11Y02,
,E_X11Y03,E_X11Y03,E_X11Y03,E_X11Y03,E_X11Y03,E_X11Y03,
,E_X11Y04,E_X11Y04,E_X11Y04,E_X11Y04,E_X11Y04,E_X11Y04,
,E_X11Y05,E_X11Y05,E_X11Y05,E_X11Y05,E_X11Y05,E_X11Y05,
,E_X11Y06,E_X11Y06,E_X11Y06,E_X11Y06,E_X11Y06,E_X11Y06,
,E_X11Y07,E_X11Y07,E_X11Y07,E_X11Y07,E_X11Y07,E_X11Y07,
,E_X11Y08,E_X11Y08,E_X11Y08,E_X11Y08,E_X11Y08,E_X11Y08,
,E_X11Y09,E_X11Y09,E_X11Y09,E_X11Y09,E_X11Y09,E_X11Y09,
,E_X11Y10,E_X11Y10,E_X11Y10,E_X11Y10,E_X11Y10,E_X11Y10,
,E_X11Y11,E_X11Y11,E_X11Y11,E_X11Y11,E_X11Y11,E_X11Y11,
,E_X11Y12,E_X11Y12,E_X11Y12,E_X11Y12,E_X11Y12,E_X11Y12,
,E_X11Y13,E_X11Y13,E_X11Y13,E_X11Y13,E_X11Y13,E_X11Y13,
,E_X11Y14,E_X11Y14,E_X11Y14,E_X11Y14,E_X11Y14,E_X11Y14,
,E_X11Y15,E_X11Y15,E_X11Y15,E_X11Y15,E_X11Y15,E_X11Y15,
,E_X12Y00,E_X12Y00,E_X12Y00,E_X12Y00,E_X12Y00,E_X12Y00,
,E_X12Y01,E_X12Y01,E_X12Y01,E_X12Y01,E_X12Y01,E_X12Y01,
,E_X12Y02,E_X12Y02,E_X12Y02,E_X12Y02,E_X12Y02,E_X12Y02,
,E_X12Y03,E_X12Y03,E_X12Y03,E_X12Y03,E_X12Y03,E_X12Y03,
,E_X12Y04,E_X12Y04,E_X12Y04,E_X12Y04,E_X12Y04,E_X12Y04,
,E_X12Y05,E_X12Y05,E_X12Y05,E_X12Y05,E_X12Y05,E_X12Y05,
,E_X12Y06,E_X12Y06,E_X12Y06,E_X12Y06,E_X12Y06,E_X12Y06,
,E_X12Y07,E_X12Y07,E_X12Y07,E_X12Y07,E_X12Y07,E_X12Y07,
,E_X12Y08,E_X12Y08,E_X12Y08,E_X12Y08,E_X12Y08,E_X12Y08,
,E_X12Y09,E_X12Y09,E_X12Y09,E_X12Y09,E_X12Y09,E_X12Y09,
,E_X12Y10,E_X12Y10,E_X12Y10,E_X12Y10,E_X12Y10,E_X12Y10,
,E_X12Y11,E_X12Y11,E_X12Y11,E_X12Y11,E_X12Y11,E_X12Y11,
,E_X12Y12,E_X12Y12,E_X12Y12,E_X12Y12,E_X12Y12,E_X12Y12,
,E_X12Y13,E_X12Y13,E_X12Y13,E_X12Y13,E_X12Y13,E_X12Y13,
,E_X12Y14,E_X12Y14,E_X12Y14,E_X12Y14,E_X12Y14,E_X12Y14,
,E_X12Y15,E_X12Y15,E_X12Y15,E_X12Y15,E_X12Y15,E_X12Y15,
,E_X13Y00,E_X13Y00,E_X13Y00,E_X13Y00,E_X13Y00,E_X13Y00,
,E_X13Y01,E_X13Y01,E_X13Y01,E_X13Y01,E_X13Y01,E_X13Y01,
,E_X13Y02,E_X13Y02,E_X13Y02,E_X13Y02,E_X13Y02,E_X13Y02,
,E_X13Y03,E_X13Y03,E_X13Y03,E_X13Y03,E_X13Y03,E_X13Y03,
,E_X13Y04,E_X13Y04,E_X13Y04,E_X13Y04,E_X13Y04,E_X13Y04,
,E_X13Y05,E_X13Y05,E_X13Y05,E_X13Y05,E_X13Y05,E_X13Y05,
,E_X13Y06,E_X13Y06,E_X13Y06,E_X13Y06,E_X13Y06,E_X13Y06,
,E_X13Y07,E_X13Y07,E_X13Y07,E_X13Y07,E_X13Y07,E_X13Y07,
,E_X13Y08,E_X13Y08,E_X13Y08,E_X13Y08,E_X13Y08,E_X13Y08,
,E_X13Y09,E_X13Y09,E_X13Y09,E_X13Y09,E_X13Y09,E_X13Y09,
,E_X13Y10,E_X13Y10,E_X13Y10,E_X13Y10,E_X13Y10,E_X13Y10,
,E_X13Y11,E_X13Y11,E_X13Y11,E_X13Y11,E_X13Y11,E_X13Y11,
,E_X13Y12,E_X13Y12,E_X13Y12,E_X13Y12,E_X13Y12,E_X13Y12,
,E_X13Y13,E_X13Y13,E_X13Y13,E_X13Y13,E_X13Y13,E_X13Y13,
,E_X13Y14,E_X13Y14,E_X13Y14,E_X13Y14,E_X13Y14,E_X13Y14,
,E_X13Y15,E_X13Y15,E_X13Y15,E_X13Y15,E_X13Y15,E_X13Y15,
,E_X14Y00,E_X14Y00,E_X14Y00,E_X14Y00,E_X14Y00,E_X14Y00,
,E_X14Y01,E_X14Y01,E_X14Y01,E_X14Y01,E_X14Y01,E_X14Y01,
,E_X14Y02,E_X14Y02,E_X14Y02,E_X14Y02,E_X14Y02,E_X14Y02,
,E_X14Y03,E_X14Y03,E_X14Y03,E_X14Y03,E_X14Y03,E_X14Y03,
,E_X14Y04,E_X14Y04,E_X14Y04,E_X14Y04,E_X14Y04,E_X14Y04,
,E_X14Y05,E_X14Y05,E_X14Y05,E_X14Y05,E_X14Y05,E_X14Y05,
,E_X14Y06,E_X14Y06,E_X14Y06,E_X14Y06,E_X14Y06,E_X14Y06,
,E_X14Y07,E_X14Y07,E_X14Y07,E_X14Y07,E_X14Y07,E_X14Y07,
,E_X14Y08,E_X14Y08,E_X14Y08,E_X14Y08,E_X14Y08,E_X14Y08,
,E_X14Y09,E_X14Y09,E_X14Y09,E_X14Y09,E_X14Y09,E_X14Y09,
,E_X14Y10,E_X14Y10,E_X14Y10,E_X14Y10,E_X14Y10,E_X14Y10,
,E_X14Y11,E_X14Y11,E_X14Y11,E_X14Y11,E_X14Y11,E_X14Y11,
,E_X14Y12,E_X14Y12,E_X14Y12,E_X14Y12,E_X14Y12,E_X14Y12,
,E_X14Y13,E_X14Y13,E_X14Y13,E_X14Y13,E_X14Y13,E_X14Y13,
,E_X14Y14,E_X14Y14,E_X14Y14,E_X14Y14,E_X14Y14,E_X14Y14,
,E_X14Y15,E_X14Y15,E_X14Y15,E_X14Y15,E_X14Y15,E_X14Y15,
,E_X15Y00,E_X15Y00,E_X15Y00,E_X15Y00,E_X15Y00,E_X15Y00,
,E_X15Y01,E_X15Y01,E_X15Y01,E_X15Y01,E_X15Y01,E_X15Y01,
,E_X15Y02,E_X15Y02,E_X15Y02,E_X15Y02,E_X15Y02,E_X15Y02,
,E_X15Y03,E_X15Y03,E_X15Y03,E_X15Y03,E_X15Y03,E_X15Y03,
,E_X15Y04,E_X15Y04,E_X15Y04,E_X15Y04,E_X15Y04,E_X15Y04,
,E_X15Y05,E_X15Y05,E_X15Y05,E_X15Y05,E_X15Y05,E_X15Y05,
,E_X15Y06,E_X15Y06,E_X15Y06,E_X15Y06,E_X15Y06,E_X15Y06,
,E_X15Y07,E_X15Y07,E_X15Y07,E_X15Y07,E_X15Y07,E_X15Y07,
,E_X15Y08,E_X15Y08,E_X15Y08,E_X15Y08,E_X15Y08,E_X15Y08,
,E_X15Y09,E_X15Y09,E_X15Y09,E_X15Y09,E_X15Y09,E_X15Y09,
,E_X15Y10,E_X15Y10,E_X15Y10,E_X15Y10,E_X15Y10,E_X15Y10,
,E_X15Y11,E_X15Y11,E_X15Y11,E_X15Y11,E_X15Y11,E_X15Y11,
,E_X15Y12,E_X15Y12,E_X15Y12,E_X15Y12,E_X15Y12,E_X15Y12,
,E_X15Y13,E_X15Y13,E_X15Y13,E_X15Y13,E_X15Y13,E_X15Y13,
,E_X15Y14,E_X15Y14,E_X15Y14,E_X15Y14,E_X15Y14,E_X15Y14,
,E_X15Y15,E_X15Y15,E_X15Y15,E_X15Y15,E_X15Y15,E_X15Y15,
